,gene,log2FC,pval,FDR
3386,ENSG00000068366,2.0490759881431866,0.000568089373662754,0.3953614887579251
861,ENSG00000234072,1.7662916642304507,0.0014262631481443513,0.3953614887579251
1041,ENSG00000211592,2.5736427793211325,0.0015768694169695854,0.3953614887579251
7308,ENSG00000171747,2.4697215938077397,0.0016403997150805137,0.3953614887579251
700,ENSG00000162896,1.6506901911866634,0.0025432979946847264,0.3953614887579251
3721,ENSG00000182307,1.756050888112097,0.0032057619740815954,0.3953614887579251
6199,ENSG00000197943,1.6422556843870442,0.003461957437111949,0.3953614887579251
6160,ENSG00000168872,1.5501591873273728,0.00346520434484996,0.3953614887579251
5857,ENSG00000188536,1.3690403269112554,0.003581252786883736,0.3953614887579251
5569,ENSG00000165949,1.4414169559882208,0.0037688833540346794,0.3953614887579251
5360,ENSG00000183087,1.7644517877000685,0.00392743227110471,0.3953614887579251
5625,ENSG00000211895,1.9342603585389633,0.0042357780768148565,0.3953614887579251
411,ENSG00000134202,1.726184241849438,0.004275134799787527,0.3953614887579251
2056,ENSG00000120519,1.274446092035312,0.0047407436898408975,0.3953614887579251
1790,ENSG00000114315,1.8363277589964062,0.004757460220211637,0.3953614887579251
3084,ENSG00000066923,1.1496776316592747,0.005981500277105094,0.3953614887579251
7513,ENSG00000211679,1.362930824537412,0.006421792689503657,0.3953614887579251
2257,ENSG00000153140,1.365863834714525,0.0069846535997691315,0.3953614887579251
1161,ENSG00000077380,1.666167422722745,0.007122045742538528,0.3953614887579251
2780,ENSG00000118507,1.2644081668781717,0.007156360530311027,0.3953614887579251
3592,ENSG00000076641,1.368726799126446,0.007159226617049913,0.3953614887579251
3569,ENSG00000104442,1.4067433448343731,0.007459133332264047,0.3953614887579251
2882,ENSG00000136213,1.2484001553504611,0.00813402462067483,0.3953614887579251
5987,ENSG00000188215,1.4315575976329264,0.00859942034372562,0.3953614887579251
6762,ENSG00000078043,1.4734987930056764,0.008676557052988657,0.3953614887579251
4738,ENSG00000166275,1.907894437303819,0.008835641861233734,0.3953614887579251
7182,ENSG00000105612,1.3937891465521535,0.008841348733861642,0.3953614887579251
2926,ENSG00000005020,1.2935604103403557,0.00894659698164177,0.3953614887579251
2756,ENSG00000277443,1.250922492783939,0.009266077372659316,0.3953614887579251
7600,ENSG00000183741,1.3638542856094098,0.0095438476171528,0.3953614887579251
669,ENSG00000162702,1.8860379655896824,0.009796263578676873,0.3953614887579251
4838,ENSG00000126749,1.3128992875040864,0.009817439534835569,0.3953614887579251
6169,ENSG00000260886,2.115242209869762,0.010201564172266005,0.3953614887579251
5463,ENSG00000070269,1.2761535821329066,0.010229955526420063,0.3953614887579251
3616,ENSG00000104324,1.5335023839216868,0.010280426960088842,0.3953614887579251
